address,kind,depth,title,source_line,note
2060/10,b,4,History of linguistics,820,
2060/11,b,4,Interlinguistics,821,
2060/12,b,4,Lexicology,822,
2060/13,b,4,Linguistic typology,823,
2060/14,b,4,Morphology,824,
2060/15,b,4,Natural language processing,825,
2060/16,b,4,Philosophy of language,826,
2060/17,b,4,Philosophy of linguistics,827,
2060/18,b,4,Linguistic philosophy,828,
2060/19,b,4,Philology,829,
2060/20,b,4,Phonetics,830,
2060/21,b,4,Phonology,831,
2060/22,b,4,Pragmatics,832,
2060/23,b,4,Psycholinguistics,833,
2060/24,b,4,Rhetoric,834,
2060/25,b,4,Semantics,835,
2060/26,b,4,Semiotics,836,
2060/27,b,4,Sociolinguistics,837,
2060/28,b,4,Syntax,838,
2060/29,b,4,Terminology science,839,
2060/30,b,4,Usage,840,
2060/31,b,4,Word usage,841,
2070,h,1,Political science,843,
2070/1,b,4,American politics,845,
2070/2,b,4,Canadian politics,846,
2070/3,b,4,Civics,847,
2070/4,b,4,Health politics,848,
2070/5,b,4,Biopolitics,849,
2070/6,b,4,Comparative politics,850,
2070/7,b,4,European studies,851,
2070/8,b,4,Geopolitics (Political geography),852,
2070/9,b,4,Indian politics,853,
2070/10,b,4,International relations,854,
2070/11,b,4,International organizations,855,
2070/12,b,4,Nationalism studies,856,
2070/13,b,4,Peace and conflict studies,857,
2070/14,b,4,Policy studies,858,
2070/15,b,4,Political behavior,859,
2070/16,b,4,Political culture,860,
2070/17,b,4,Political economy,861,
2070/18,b,4,Political history,862,
2070/19,b,4,Political philosophy,863,
2070/20,b,4,Public administration,864,
2070/20a,b,5,Nonprofit administration,865,
2070/20b,b,5,Non-governmental organization (NGO) administration,866,
2070/21,b,4,Public law,867,
2070/22,b,4,Public policy,868,
2070/23,b,4,Psephology,869,
2070/24,b,4,Social choice theory,870,
2070/25,b,4,Singapore politics,871,
2080,h,1,Psychology,873,
2080/1,b,4,Abnormal psychology,875,
2080/2,b,4,Applied psychology,876,
2080/3,b,4,Biological psychology,877,
2080/4,b,4,Clinical neuropsychology,878,
2080/5,b,4,Clinical psychology,879,
2080/6,b,4,Cognitive psychology,880,
2080/7,b,4,Community psychology,881,
2080/8,b,4,Comparative psychology,882,
2080/9,b,4,Conservation psychology,883,
2080/10,b,4,Consumer psychology,884,
2080/11,b,4,Counseling psychology,885,
2080/12,b,4,Criminal psychology,886,
2080/13,b,4,Cultural psychology,887,
2080/13a,b,5,Asian psychology,888,
